ts	phase	decision	why	evidence	result
2026-08-14T18:30:00-03:00	serializer	Map only Card/Cards, Property/Properties, Step/Steps, and Callout, and fail on every other MDX JSX component	The eight current docs use exactly these component families, and silent fallback would recreate the raw-MDX defect	foundry/runs/solution-gate/2026-08-14-ai-cli-82-aa5e962.md	assumes the current docs component inventory is complete
2026-08-14T18:30:01-03:00	dependencies	Declare unified, remark-parse, remark-mdx, remark-gfm, remark-stringify, and unist-util-visit as direct web dependencies	The serializer imports them directly, so relying on fromsrc transitive dependencies would make package resolution accidental	apps/web/package.json	direct imports remain stable across dependency graph changes
2026-08-14T18:30:02-03:00	freshness	Remove freshness metadata instead of adding Git access to production	Freshness is optional, and omission is more reliable than coupling request-time output to repository availability	foundry/runs/solution-gate/2026-08-14-ai-cli-82-aa5e962.md	sitemap and Markdown remain valid without freshness fields
2026-08-14T18:30:03-03:00	metadata	Move homepage canonical and Markdown alternate to app/page.tsx while leaving site-wide descriptive and OG defaults in the root layout	Identity belongs to a valid route, while root metadata is inherited by HTML 404s	apps/web/app/layout.tsx	HTML 404s inherit no canonical or Markdown alternate
2026-08-14T18:30:04-03:00	routing	Use one serializer through markdownForPathname for explicit .md routes and negotiated agent responses	Both delivery paths already converge on this function, preventing representation drift	apps/web/lib/page-markdown.ts	explicit and negotiated Markdown stay byte-equivalent
2026-08-14T18:42:00-03:00	dependencies	Supersede the unist-util-visit part of the dependency decision and traverse the small mdast recursively	The transform needs parent-aware replacement and the recursion is shorter than adding another runtime package	apps/web/lib/mdx-markdown.ts	direct dependencies are limited to the parser and stringifier pipeline
2026-08-14T18:49:53-03:00	serializer	Represent property metadata as mdast inline-code nodes and Steps as one ordered-list node	The first focused test showed that literal backticks in text are escaped and isolated list-item nodes stringify as bullets	apps/web/lib/mdx-markdown.test.ts	property metadata and ordered steps render with their intended Markdown semantics
2026-08-14T18:55:00-03:00	serializer	Validate transformed Step and Callout children as block content before assigning them to mdast containers	Next's TypeScript build exposed that RootContent also permits phrasing nodes that are invalid direct children of lists and blockquotes	apps/web/lib/mdx-markdown.ts	invalid direct child shapes fail explicitly instead of being hidden behind an unchecked cast
2026-08-14T18:57:43-03:00	serializer	Reject a shorthand Callout type attribute instead of treating its empty string as a label	The different-family decision audit found that an empty label reached label[0].toUpperCase() and crashed with an incidental TypeError	apps/web/lib/mdx-markdown.test.ts	invalid Callout attribute shapes fail with an intentional error
2026-08-14T18:59:00-03:00	serializer	Reject any MDX node left anywhere in the transformed tree	The shorthand regression test exposed that one-line JSX parses as mdxJsxTextElement nested in a paragraph, outside the root-only transform	apps/web/lib/mdx-markdown.test.ts	inline or nested JSX cannot leak through the Markdown serializer
